Full Text,Author,Creation Time,Hashtags,text,is_road_closure
Autumn Sun | sailor_marimoon soaking up some golden warm autumn rays at my favorite Malibu beach which I tend to leave un-named for a reason. This was four days before the Woolsey fire… https://www.instagram.com/p/Bq0UlH7H9e_/?utm_source=ig_twitter_share&igshid=1m0n64gnmqy4q …,StormulaOne,Fri Nov 30 20:16:20 +0000 2018,,autumn sun sailor marimoon soaking up some golden warm autumn ray at my favorite malibu beach which i tend to leave un named for a reason this wa four day before the woolsey fire http www instagram com p bq0ulh7h9e utm source ig twitter share igshid 1m0n64gnmqy4q,0
!!woolsey fire!! all lanes shutdown until further notice in #Malibu on Hwy 23 SB between Mulholland Hwy and CA-1 #LAtraffic,TotalTrafficLA,Fri Nov 30 12:16:39 +0000 2018,#Malibu #LAtraffic,woolsey fire all lane shutdown until further notice in #malibu on hwy 23 sb between mulholland hwy and ca 1 #latraffic,1
!!woolsey fire!! all lanes shutdown until further notice in #Malibu on Hwy 23 NB between CA-1 and Mulholland Hwy #LAtraffic,TotalTrafficLA,Fri Nov 30 12:16:38 +0000 2018,#Malibu #LAtraffic,woolsey fire all lane shutdown until further notice in #malibu on hwy 23 nb between ca 1 and mulholland hwy #latraffic,1
"Nov 8th the Woolsey fire broke out and burned 96,949 acres and over 1000 structures. Nov 9 Malibu was under mandatory evacuation. Nov 10 I was able to go check on my house on Point Dume.… https://www.instagram.com/p/Bqym9VfnqpS/?utm_source=ig_twitter_share&igshid=1hvtwftga6rsa …",irishcntrychic3,Fri Nov 30 04:18:35 +0000 2018,,nov 8th the woolsey fire broke out and burned 96 949 acre and over 1000 structure nov 9 malibu wa under mandatory evacuation nov 10 i wa able to go check on my house on point dume http www instagram com p bqym9vfnqps utm source ig twitter share igshid 1hvtwftga6rsa,0
Yes! This is one of the groups the boys & I helped with just after the Woolsey Fire! #Repost @deityjewels with get_repost ・・・ Because it’s 11 pm on a Tuesday and at this moment THIS… https://www.instagram.com/p/BqwHOUtBIw-/?utm_source=ig_twitter_share&igshid=tvykhuh4fbfn …,BondKathi,Thu Nov 29 05:01:38 +0000 2018,#Repost,yes this is one of the group the boy i helped with just after the woolsey fire #repost with get repost because it s 11 pm on a tuesday and at this moment this http www instagram com p bqwhoutbiw utm source ig twitter share igshid tvykhuh4fbfn,0
"Today was Matthew’s first day back at school since the Woolsey Fire broke out. His school, Webster Elementary, is the first of all Malibu’s public schools to be open and I have been so… https://www.instagram.com/p/BqvdUaOAd0t/?utm_source=ig_twitter_share&igshid=1ojz53bysihx3 …",KristineSzabo,Wed Nov 28 22:55:23 +0000 2018,,today wa matthew s first day back at school since the woolsey fire broke out his school webster elementary is the first of all malibu s public school to be open and i have been so http www instagram com p bqvduaoad0t utm source ig twitter share igshid 1ojz53bysihx3,0
!!woolsey fire!! all lanes shutdown until further notice in #LosAngeles on Hwy 23 SB between Mulholland Hwy and CA-1 #LAtraffic,TotalTrafficLA,Wed Nov 28 22:19:57 +0000 2018,#LosAngeles #LAtraffic,woolsey fire all lane shutdown until further notice in #losangeles on hwy 23 sb between mulholland hwy and ca 1 #latraffic,1
"In awe of the resilience of #agourahills forest after the #woosleyfire Many oaks fell & burn patterns lie in their shapes,but it will regrow. #nature is magic #goadventurekitty @Agoura… https://www.instagram.com/p/BquzKw5H_N-/?utm_source=ig_twitter_share&igshid=4q91c16gwul2 …",macstarr,Wed Nov 28 17:26:45 +0000 2018,#agourahills #woosleyfire #nature #goadventurekitty,in awe of the resilience of #agourahills forest after the #woosleyfire many oak fell burn pattern lie in their shape but it will regrow #nature is magic #goadventurekitty http www instagram com p bquzkw5h n utm source ig twitter share igshid 4q91c16gwul2,0
"#malibufires #wearesafe #woosleyfire #malibufires2018 @Malibu, California https://www.instagram.com/p/Bqt2420FGop/?utm_source=ig_twitter_share&igshid=3yzq0fujh1m9 …",iamDNAPhoto,Wed Nov 28 08:00:20 +0000 2018,#malibufires #wearesafe #woosleyfire #malibufires2018,#malibufires #wearesafe #woosleyfire #malibufires2018 california http www instagram com p bqt2420fgop utm source ig twitter share igshid 3yzq0fujh1m9,0
Free Clothing and Footwear For Malibu Residents affected by The Woolsey Fire Open Daily 11am-5pm Until December 31 The Malibu Country Mart 23410 Civic Center Way Located directly above… https://www.instagram.com/p/BqtdtESAYGU/?utm_source=ig_twitter_share&igshid=506oyugfbz7h …,MalibuBeautiful,Wed Nov 28 04:20:17 +0000 2018,,free clothing and footwear for malibu resident affected by the woolsey fire open daily 11am 5pm until december 31 the malibu country mart 23410 civic center way located directly above http www instagram com p bqtdtesaygu utm source ig twitter share igshid 506oyugfbz7h,0
Tables and chairs are setup for tomorrow night's Downtown Comedy Jam oakandmainventura $10 Tickets and we're donating 20% of all the proceeds to Wild Fire Relief for the #woosleyfire… https://www.instagram.com/p/BqtYMvzA4Lp/?utm_source=ig_twitter_share&igshid=ltyqxr1e8i0p …,jeffurrea,Wed Nov 28 03:34:45 +0000 2018,#woosleyfire,table and chair are setup for tomorrow night s downtown comedy jam oakandmainventura 10 ticket and we re donating 20 of all the proceeds to wild fire relief for the #woosleyfire http www instagram com p bqtymvza4lp utm source ig twitter share igshid ltyqxr1e8i0p,0
This video of the Woolsey Fire blasting through Oak Park reminds me why we give. We choose the Red Cross today. Click our bio link to give. 90% of their work force is volunteer.… https://www.instagram.com/p/BqsyqFxFbeE/?utm_source=ig_twitter_share&igshid=12eumpa60mtzm …,TopangaVintage,Tue Nov 27 22:13:40 +0000 2018,,this video of the woolsey fire blasting through oak park reminds me why we give we choose the red cross today click our bio link to give 90 of their work force is volunteer http www instagram com p bqsyqfxfbee utm source ig twitter share igshid 12eumpa60mtzm,0
"The Woolsey Fire was mean and nasty #woosleyfire #malibufire2018 @Malibu, California https://www.instagram.com/p/BqqyV-rlJId/?utm_source=ig_twitter_share&igshid=1lzoiy67xd951 …",iamDNAPhoto,Tue Nov 27 03:22:55 +0000 2018,#woosleyfire #malibufire2018,the woolsey fire wa mean and nasty #woosleyfire #malibufire2018 california http www instagram com p bqqyv rljid utm source ig twitter share igshid 1lzoiy67xd951,0
"WED NOV 28, 2018 To all fire victims who have lost from Woolsey fire, my good friend and #1 guy of vans, stevevandoren is giving away #Vans shoes and clothing. Steve is a huge advocate… https://www.instagram.com/p/BqplRh2HRIV/?utm_source=ig_twitter_share&igshid=qu6j18ifikiq …",RockDaMullet,Mon Nov 26 16:09:28 +0000 2018,#1 #Vans,wed nov 28 2018 to all fire victim who have lost from woolsey fire my good friend and #1 guy of van stevevandoren is giving away #vans shoe and clothing steve is a huge advocate http www instagram com p bqplrh2hriv utm source ig twitter share igshid qu6j18ifikiq,0
"Woolsey Fire: The Aftermath. 3 people dead. 97,000 acres of forest burned to a crisp. 265,000 people evacuated. 3,000+ firefighters deployed. 2,000 buildings… https://www.instagram.com/p/BqoWo89n08pWzBZCkPqOaT_6Z-gQd6q5gUk7Zw0/?utm_source=ig_twitter_share&igshid=3t9y4znxkbmi …",AllenAmbright,Mon Nov 26 04:43:58 +0000 2018,,woolsey fire the aftermath 3 people dead 97 000 acre of forest burned to a crisp 265 000 people evacuated 3 000 firefighter deployed 2 000 building http www instagram com p bqowo89n08pwzbzckpqoat 6z gqd6q5guk7zw0 utm source ig twitter share igshid 3t9y4znxkbmi,0
We went to see what was left of #leocarrillo on Friday and I can't tell you how heartbreaking it is to see the aftermath of the #woosleyfire We walked inside the camp grounds and nothing… https://www.instagram.com/p/BqnvJiLnO_Z/?utm_source=ig_twitter_share&igshid=x52zp0jahe3h …,LindsGreen,Sun Nov 25 23:39:19 +0000 2018,#leocarrillo #woosleyfire,we went to see what wa left of #leocarrillo on friday and i can t tell you how heartbreaking it is to see the aftermath of the #woosleyfire we walked inside the camp ground and nothing http www instagram com p bqnvjilno z utm source ig twitter share igshid x52zp0jahe3h,0
"Complete devastation from the Woolsey fire in Malibu. #woolseyfire #malibu #malibufire #zuma @Malibu, California https://www.instagram.com/p/BqnfblIgTb6/?utm_source=ig_twitter_share&igshid=ee5lkxlqmfjo …",blendnewbalance,Sun Nov 25 20:39:59 +0000 2018,#woolseyfire #malibu #malibufire #zuma,complete devastation from the woolsey fire in malibu #woolseyfire #malibu #malibufire #zuma california http www instagram com p bqnfbligtb6 utm source ig twitter share igshid ee5lkxlqmfjo,0
"And it’s all done #raiders #raidernation #jeanjacketswag #ididthat #evacuation #malibu #malibufires #woosleyfire #wearesafe @West Hills, California https://www.instagram.com/p/BqmIxR0FbwE/?utm_source=ig_twitter_share&igshid=19dljn23azki8 …",iamDNAPhoto,Sun Nov 25 08:02:41 +0000 2018,#raiders #raidernation #jeanjacketswag #ididthat #evacuation #malibu #malibufires #woosleyfire #wearesafe,and it s all done #raiders #raidernation #jeanjacketswag #ididthat #evacuation #malibu #malibufires #woosleyfire #wearesafe hill california http www instagram com p bqmixr0fbwe utm source ig twitter share igshid 19dljn23azki8,0
"As this Thanksgiving weekend comes to an end, I want to thank the friends, family and strangers that have supported me since I found out that like hundreds of others, the Woosley fire took… https://www.instagram.com/p/BqkhRc-APbF/?utm_source=ig_twitter_share&igshid=j0nqf78tsvwh …",CaseyDuggan,Sat Nov 24 16:58:21 +0000 2018,,a this thanksgiving weekend come to an end i want to thank the friend family and stranger that have supported me since i found out that like hundred of others the woosley fire took http www instagram com p bqkhrc apbf utm source ig twitter share igshid j0nqf78tsvwh,0
Taking a moment to be #thankful that our family and our #community survived the #woosleyfire Over the next few weeks we will be #volunteering and thanking our #firefighter @… https://www.instagram.com/p/Bqi9ksWDfbt/?utm_source=ig_twitter_share&igshid=160qedmdmr7ng …,jordan_fellas,Sat Nov 24 02:28:38 +0000 2018,#thankful #community #woosleyfire #volunteering #firefighter,taking a moment to be #thankful that our family and our #community survived the #woosleyfire over the next few week we will be #volunteering and thanking our #firefighter http www instagram com p bqi9kswdfbt utm source ig twitter share igshid 160qedmdmr7ng,0
"Everyone wish @mileycyrus a happy birthday today by donating to @happyhippiefdn and their work to help those affected by the #woosleyfire #miley #happyhippiefdn @Malibu, California https://www.instagram.com/p/BqiLoycHNmN/?utm_source=ig_twitter_share&igshid=1umcvc6pjwfxt …",CodyLinley,Fri Nov 23 19:10:45 +0000 2018,#woosleyfire #miley #happyhippiefdn,everyone wish a happy birthday today by donating to and their work to help those affected by the #woosleyfire #miley #happyhippiefdn california http www instagram com p bqiloychnmn utm source ig twitter share igshid 1umcvc6pjwfxt,0
@cafegratitude served donation-based meals where all proceeds went to victims of the Woolsey Fire so that’s how these fine folks and I spent the afternoon. #veganthanksgiving @Café Gratitude https://www.instagram.com/p/BqgMx0PlYDA/?utm_source=ig_twitter_share&igshid=vj343rxeg4bv …,SilverBlizzard,Fri Nov 23 00:43:24 +0000 2018,#veganthanksgiving,served donation based meal where all proceeds went to victim of the woolsey fire so that s how these fine folk and i spent the afternoon #veganthanksgiving gratitude http www instagram com p bqgmx0plyda utm source ig twitter share igshid vj343rxeg4bv,0
Just finished a little #run in the Santa Monica #mountains so sad to see the devastation. My heart goes out to all the #families who lost their #home #woosleyfire… https://www.instagram.com/ultrashannon/p/Bqf3ZA_Bceb/?utm_source=ig_twitter_share&igshid=ishp0tcf2ozt …,Run100milesMom,Thu Nov 22 21:35:48 +0000 2018,#run #mountains #families #home #woosleyfire,just finished a little #run in the santa monica #mountains so sad to see the devastation my heart go out to all the #families who lost their #home #woosleyfire http www instagram com ultrashannon p bqf3za bceb utm source ig twitter share igshid ishp0tcf2ozt,0
"Ashes Woolsey Fire @Agoura Hills, California https://www.instagram.com/p/BqfxrmjFdms/?utm_source=ig_twitter_share&igshid=1dikhkzhqn721 …",ChristinaMcFaul,Thu Nov 22 20:46:12 +0000 2018,,ash woolsey fire hill california http www instagram com p bqfxrmjfdms utm source ig twitter share igshid 1dikhkzhqn721,0
"Just saw this foursome hanging out at Station 67. #thankful #wildlife #station67 #woosleyfire #montenido #drivesafe @Monte Nido, California https://www.instagram.com/p/BqdeRISDv-s/?utm_source=ig_twitter_share&igshid=1dj7ixglfbn3o …",danasparksreal,Wed Nov 21 23:21:02 +0000 2018,#thankful #wildlife #station67 #woosleyfire #montenido #drivesafe,just saw this foursome hanging out at station 67 #thankful #wildlife #station67 #woosleyfire #montenido #drivesafe nido california http www instagram com p bqderisdv s utm source ig twitter share igshid 1dj7ixglfbn3o,0
Currently stationed at the Woolsey Fire Recovery Operations Command Post here in Malibu. #woolseyfire #firstresponders #publicsafety #lacounty @Malibu Bluffs Park https://www.instagram.com/p/Bqc7HD3BZkm/?utm_source=ig_twitter_share&igshid=16yf0ssmpjne …,djardster,Wed Nov 21 18:10:20 +0000 2018,#woolseyfire #firstresponders #publicsafety #lacounty,currently stationed at the woolsey fire recovery operation command post here in malibu #woolseyfire #firstresponders #publicsafety #lacounty bluff park http www instagram com p bqc7hd3bzkm utm source ig twitter share igshid 16yf0ssmpjne,0
